pokemon,status_effect,result,current_iter,max_iter
mewtwo,FREEZE,False,1,30
mewtwo,FREEZE,False,2,30
mewtwo,FREEZE,False,3,30
mewtwo,FREEZE,False,4,30
mewtwo,FREEZE,False,5,30
mewtwo,FREEZE,False,6,30
mewtwo,FREEZE,False,7,30
mewtwo,FREEZE,False,8,30
mewtwo,FREEZE,False,9,30
mewtwo,FREEZE,False,10,30
mewtwo,FREEZE,False,11,30
mewtwo,FREEZE,False,12,30
mewtwo,FREEZE,False,13,30
mewtwo,FREEZE,False,14,30
mewtwo,FREEZE,False,15,30
mewtwo,FREEZE,False,16,30
mewtwo,FREEZE,False,17,30
mewtwo,FREEZE,False,18,30
mewtwo,FREEZE,False,19,30
mewtwo,FREEZE,False,20,30
mewtwo,FREEZE,False,21,30
mewtwo,FREEZE,False,22,30
mewtwo,FREEZE,False,23,30
mewtwo,FREEZE,False,24,30
mewtwo,FREEZE,False,25,30
mewtwo,FREEZE,False,26,30
mewtwo,FREEZE,False,27,30
mewtwo,FREEZE,False,28,30
mewtwo,FREEZE,False,29,30
mewtwo,FREEZE,False,30,30
mewtwo,SLEEP,False,1,30
mewtwo,SLEEP,False,2,30
mewtwo,SLEEP,False,3,30
mewtwo,SLEEP,False,4,30
mewtwo,SLEEP,False,5,30
mewtwo,SLEEP,False,6,30
mewtwo,SLEEP,False,7,30
mewtwo,SLEEP,False,8,30
mewtwo,SLEEP,False,9,30
mewtwo,SLEEP,False,10,30
mewtwo,SLEEP,False,11,30
mewtwo,SLEEP,False,12,30
mewtwo,SLEEP,False,13,30
mewtwo,SLEEP,False,14,30
mewtwo,SLEEP,False,15,30
mewtwo,SLEEP,False,16,30
mewtwo,SLEEP,False,17,30
mewtwo,SLEEP,False,18,30
mewtwo,SLEEP,False,19,30
mewtwo,SLEEP,False,20,30
mewtwo,SLEEP,False,21,30
mewtwo,SLEEP,False,22,30
mewtwo,SLEEP,False,23,30
mewtwo,SLEEP,False,24,30
mewtwo,SLEEP,False,25,30
mewtwo,SLEEP,False,26,30
mewtwo,SLEEP,False,27,30
mewtwo,SLEEP,False,28,30
mewtwo,SLEEP,False,29,30
mewtwo,SLEEP,False,30,30
mewtwo,PARALYSIS,False,1,30
mewtwo,PARALYSIS,False,2,30
mewtwo,PARALYSIS,False,3,30
mewtwo,PARALYSIS,False,4,30
mewtwo,PARALYSIS,False,5,30
mewtwo,PARALYSIS,False,6,30
mewtwo,PARALYSIS,False,7,30
mewtwo,PARALYSIS,False,8,30
mewtwo,PARALYSIS,False,9,30
mewtwo,PARALYSIS,False,10,30
mewtwo,PARALYSIS,False,11,30
mewtwo,PARALYSIS,False,12,30
mewtwo,PARALYSIS,False,13,30
mewtwo,PARALYSIS,False,14,30
mewtwo,PARALYSIS,False,15,30
mewtwo,PARALYSIS,False,16,30
mewtwo,PARALYSIS,False,17,30
